outflow,time,size,area,rho
5,388,956,32,0.84375
0,90,159,21,0.875
0,20,24,14,0.90625
0,0,0,1,0.9375
4,189,344,24,0.84375
0,11,18,10,0.875
0,53,72,13,0.90625
1,25,48,10,0.90625
0,13,16,7,0.9375
3,69,174,32,0.875
3,123,288,25,0.8125
1,6,6,4,0.8125
1,22,32,11,0.8125
0,26,29,7,0.84375
0,104,227,24,0.875
0,0,0,1,0.90625
2,80,123,18,0.875
2,144,355,32,0.84375
0,84,124,14,0.875
0,9,10,5,0.90625
0,42,66,11,0.9375
2,92,147,20,0.90625
0,2,2,3,0.9375
2,76,107,21,0.90625
2,58,98,22,0.875
1,1,1,2,0.875
0,74,118,25,0.90625
2,82,119,23,0.875
0,38,66,12,0.90625
1,20,27,12,0.90625
3,196,690,32,0.84375
0,86,145,25,0.875
4,154,331,32,0.78125
1,8,10,4,0.78125
0,39,62,13,0.8125
0,0,0,1,0.84375
2,56,122,26,0.8125
0,6,6,6,0.84375
0,6,10,6,0.875
2,1,1,1,0.84375
2,73,160,25,0.8125
0,6,6,5,0.84375
0,32,33,11,0.875
0,18,34,11,0.90625
2,90,220,31,0.875
0,23,35,15,0.90625
0,18,25,13,0.9375
1,21,51,12,0.9375
1,65,98,14,0.9375
5,277,707,32,0.8125
2,118,221,30,0.78125
2,62,126,21,0.75
0,0,0,1,0.78125
2,76,127,19,0.75
2,21,30,12,0.71875
0,4,6,6,0.75
0,0,0,1,0.78125
0,43,72,19,0.8125
2,14,20,8,0.78125
0,0,0,1,0.8125
0,9,12,5,0.84375
0,0,0,1,0.875
0,50,101,20,0.90625
2,3,4,3,0.875
0,24,28,10,0.90625
3,15,17,4,0.84375
3,57,166,32,0.78125
0,35,61,9,0.8125
0,3,3,3,0.84375
0,0,0,1,0.875
0,0,0,1,0.90625
2,301,1054,32,0.875
2,156,409,27,0.84375
0,2,2,4,0.875
1,3,3,4,0.875
2,106,185,19,0.84375
1,18,32,12,0.84375
0,12,14,7,0.875
0,0,0,1,0.90625
5,98,188,32,0.78125
0,0,0,1,0.8125
0,18,22,9,0.84375
1,40,80,21,0.84375
0,0,0,1,0.875
0,0,0,1,0.90625
5,193,469,32,0.78125
0,98,167,24,0.8125
1,33,59,23,0.8125
1,67,136,21,0.8125
3,47,109,22,0.75
1,116,155,22,0.75
1,16,18,9,0.75
0,6,6,5,0.78125
0,0,0,1,0.8125
0,43,55,13,0.84375
2,82,124,24,0.8125
0,45,57,23,0.84375
0,2,2,3,0.875
3,23,27,9,0.8125
0,16,17,6,0.84375
0,2,2,4,0.875
1,74,124,20,0.875
2,25,37,9,0.84375
0,0,0,1,0.875
4,30,59,18,0.78125
1,8,11,6,0.78125
0,0,0,1,0.8125
0,27,31,10,0.84375
0,112,225,24,0.875
1,13,13,5,0.875
3,36,76,17,0.8125
0,4,4,5,0.84375
3,135,335,32,0.78125
0,8,8,6,0.8125
1,87,106,29,0.8125
0,24,31,12,0.84375
1,23,36,10,0.84375
2,46,83,21,0.8125
1,134,326,26,0.8125
1,10,10,5,0.8125
0,0,0,1,0.84375
0,12,16,10,0.875
0,0,0,1,0.90625
0,10,15,11,0.9375
3,24,49,9,0.875
0,2,2,3,0.90625
2,14,14,6,0.875
0,0,0,1,0.90625
0,24,31,9,0.9375
0,12,14,11,0.96875
2,58,123,22,0.9375
3,93,275,32,0.875
0,140,334,22,0.90625
3,32,73,15,0.84375
